feature,importance
recent_form_score,0.2107457389957945
position_inverted,0.1602089653223433
ewma_points,0.11553773041513249
track_mean_position,0.11376675493180931
qualifying_advantage,0.1036680862270793
ewma_position,0.09929487362933627
track_mean_quali,0.08972948224137428
track_quali_performance,0.050054350518101844
track_mean_points,0.04066075160242618
mean_position,0.01633322374140557
track_mean_grid,2.134547875507239e-08
total_podiums_x,2.1003394625060462e-08
mean_grid,9.707622676504636e-12
total_points_y,7.446597793058334e-12
worst_position,6.541085461896751e-12
total_points_x,1.5916779879148137e-12
best_position,5.89699367431685e-13
mean_quali_position,2.784755064843506e-13
mean_points_per_race,1.6842470662044627e-13
total_wins_x,0.0
track_std_points,0.0
races_completed,0.0
track_races,0.0
track_std_position,0.0
std_position,0.0
std_points_per_race,0.0
track_consistency,0.0
std_grid,0.0
std_grid_diff,0.0
total_wins_y,0.0
std_quali_position,0.0
mean_grid_diff,0.0
position_consistency,0.0
total_podiums_y,0.0
quali_consistency,0.0
grid_consistency,0.0
podium_rate,0.0
win_rate,0.0
track_advantage,0.0
weather_impact,0.0
